,sigma,force,rmodav,rmodsqd,dmax
,0.020,0.880,0.9999387,0.0000000,0.0000000
,0.020,0.900,0.9999389,0.0000000,0.0000000
,0.020,0.920,0.9999392,0.0000000,0.0000000
,0.020,0.940,0.9999395,0.0000000,0.0000000
,0.020,0.960,0.9999397,0.0000000,0.0000000
,0.020,0.980,0.9999400,0.0000000,0.0000000
,0.020,1.000,0.9999403,0.0000000,0.0000000
,0.020,1.020,0.9999405,0.0000000,0.0000000
,0.020,1.040,0.9999408,0.0000000,0.0000000
,0.020,1.060,0.9999411,0.0000000,0.0000000
,0.020,1.080,0.9999413,0.0000000,0.0000000
,0.020,1.100,0.9999416,0.0000000,0.0000000
,0.020,1.120,0.9999418,0.0000000,0.0000000
,0.020,1.140,0.9999421,0.0000000,0.0000000
,0.020,1.160,0.9999423,0.0000000,0.0000000
,0.020,1.180,0.9999426,0.0000000,0.0000000
,0.020,1.200,0.9999428,0.0000000,0.0000000
,0.020,1.220,0.9999431,0.0000000,0.0000000
,0.020,1.240,0.9999433,0.0000000,0.0000000
,0.020,1.260,0.9999436,0.0000000,0.0000000
,0.020,1.280,0.9999438,0.0000000,0.0000000
,0.020,1.300,0.9999441,0.0000000,0.0000000
,0.020,1.320,0.9999443,0.0000000,0.0000000
,0.020,1.340,0.9999446,0.0000000,0.0000000
,0.020,1.360,0.9999448,0.0000000,0.0000000
,0.020,1.380,0.9999450,0.0000000,0.0000000
,0.020,1.400,0.9999453,0.0000000,0.0000000
,0.020,1.420,0.9999455,0.0000000,0.0000000
,0.020,1.440,0.9999457,0.0000000,0.0000000
,0.020,1.460,0.9999460,0.0000000,0.0000000
,0.020,1.480,0.9999462,0.0000000,0.0000000
,0.020,1.500,0.9999464,0.0000000,0.0000000
,0.020,1.520,0.9999466,0.0000000,0.0000000
,0.020,1.540,0.9999469,0.0000000,0.0000000
,0.020,1.560,0.9999471,0.0000000,0.0000000
,0.020,1.580,0.9999473,0.0000000,0.0000000
,0.020,1.600,0.9999475,0.0000000,0.0000000
,0.020,1.620,0.9999477,0.0000000,0.0000000
,0.020,1.640,0.9999480,0.0000000,0.0000000
,0.020,1.660,0.9999482,0.0000000,0.0000000
,0.020,1.680,0.9999484,0.0000000,0.0000000
,0.020,1.700,0.9999486,0.0000000,0.0000000
,0.020,1.720,0.9999488,0.0000000,0.0000000
,0.020,1.740,0.9999490,0.0000000,0.0000000
,0.020,1.760,0.9999492,0.0000000,0.0000000
,0.020,1.780,0.9999494,0.0000000,0.0000000
,0.020,1.800,0.9999496,0.0000000,0.0000000
,0.020,1.820,0.9999498,0.0000000,0.0000000
,0.020,1.840,0.9999500,0.0000000,0.0000000
,0.020,1.860,0.9999503,0.0000000,0.0000000
,0.020,1.880,0.9999505,0.0000000,0.0000000
,0.020,1.900,0.9999507,0.0000000,0.0000000
,0.020,1.920,0.9999509,0.0000000,0.0000000
,0.020,1.940,0.9999510,0.0000000,0.0000000
,0.020,1.960,0.9999512,0.0000000,0.0000000
,0.020,1.980,0.9999514,0.0000000,0.0000000
,0.020,2.000,0.9999516,0.0000000,0.0000000
,0.040,0.000,0.0016615,0.2920151,0.0014085
,0.040,0.020,0.0137837,0.0933278,0.0014642
,0.040,0.040,0.0288226,0.0603399,0.0016765
,0.040,0.060,0.0451489,0.0644591,0.0030554
,0.040,0.080,0.0647361,0.0383902,0.0035635
,0.040,0.100,0.0838918,0.0827898,0.0072489
,0.040,0.120,0.1215351,0.1017130,0.0119115
,0.040,0.140,0.9999269,0.0000000,0.0000002
,0.040,0.160,0.9999273,0.0000000,0.0000000
,0.040,0.180,0.9999276,0.0000000,0.0000000
,0.040,0.200,0.9999280,0.0000000,0.0000000
,0.040,0.220,0.9999283,0.0000000,0.0000000
,0.040,0.240,0.9999287,0.0000000,0.0000000
,0.040,0.260,0.9999290,0.0000000,0.0000000
,0.040,0.280,0.9999294,0.0000000,0.0000000
,0.040,0.300,0.9999297,0.0000000,0.0000000
,0.040,0.320,0.9999301,0.0000000,0.0000000
,0.040,0.340,0.9999304,0.0000000,0.0000000
,0.040,0.360,0.9999307,0.0000000,0.0000000
,0.040,0.380,0.9999311,0.0000000,0.0000000
,0.040,0.400,0.9999314,0.0000000,0.0000000
,0.040,0.420,0.9999317,0.0000000,0.0000000
,0.040,0.440,0.9999321,0.0000000,0.0000000
,0.040,0.460,0.9999324,0.0000000,0.0000000
,0.040,0.480,0.9999327,0.0000000,0.0000000
,0.040,0.500,0.9999330,0.0000000,0.0000000
,0.040,0.520,0.9999333,0.0000000,0.0000000
,0.040,0.540,0.9999336,0.0000000,0.0000000
,0.040,0.560,0.9999340,0.0000000,0.0000000
,0.040,0.580,0.9999343,0.0000000,0.0000000
,0.040,0.600,0.9999346,0.0000000,0.0000000
,0.040,0.620,0.9999349,0.0000000,0.0000000
,0.040,0.640,0.9999352,0.0000000,0.0000000
,0.040,0.660,0.9999355,0.0000000,0.0000000
,0.040,0.680,0.9999358,0.0000000,0.0000000
